DATE,CPIAUCSL
01/01/1947,21.48
02/01/1947,21.62
03/01/1947,22
04/01/1947,22
05/01/1947,21.95
06/01/1947,22.08
07/01/1947,22.23
08/01/1947,22.4
09/01/1947,22.84
10/01/1947,22.91
11/01/1947,23.06
12/01/1947,23.41
01/01/1948,23.68
02/01/1948,23.67
03/01/1948,23.5
04/01/1948,23.82
05/01/1948,24.01
06/01/1948,24.15
07/01/1948,24.4
08/01/1948,24.43
09/01/1948,24.36
10/01/1948,24.31
11/01/1948,24.16
12/01/1948,24.05
01/01/1949,24.01
02/01/1949,23.91
03/01/1949,23.91
04/01/1949,23.92
05/01/1949,23.91
06/01/1949,23.92
07/01/1949,23.7
08/01/1949,23.7
09/01/1949,23.75
10/01/1949,23.67
11/01/1949,23.7
12/01/1949,23.61
01/01/1950,23.51
02/01/1950,23.61
03/01/1950,23.64
04/01/1950,23.65
05/01/1950,23.77
06/01/1950,23.88
07/01/1950,24.07
08/01/1950,24.2
09/01/1950,24.34
10/01/1950,24.5
11/01/1950,24.6
12/01/1950,24.98
01/01/1951,25.38
02/01/1951,25.83
03/01/1951,25.88
04/01/1951,25.92
05/01/1951,25.99
06/01/1951,25.93
07/01/1951,25.91
08/01/1951,25.86
09/01/1951,26.03
10/01/1951,26.16
11/01/1951,26.32
12/01/1951,26.47
01/01/1952,26.45
02/01/1952,26.41
03/01/1952,26.39
04/01/1952,26.46
05/01/1952,26.47
06/01/1952,26.53
07/01/1952,26.68
08/01/1952,26.69
09/01/1952,26.63
10/01/1952,26.69
11/01/1952,26.69
12/01/1952,26.71
01/01/1953,26.64
02/01/1953,26.59
03/01/1953,26.63
04/01/1953,26.69
05/01/1953,26.7
06/01/1953,26.77
07/01/1953,26.79
08/01/1953,26.85
09/01/1953,26.89
10/01/1953,26.95
11/01/1953,26.85
12/01/1953,26.87
01/01/1954,26.94
02/01/1954,26.99
03/01/1954,26.93
04/01/1954,26.86
05/01/1954,26.93
06/01/1954,26.94
07/01/1954,26.86
08/01/1954,26.85
09/01/1954,26.81
10/01/1954,26.72
11/01/1954,26.78
12/01/1954,26.77
01/01/1955,26.77
02/01/1955,26.82
03/01/1955,26.79
04/01/1955,26.79
05/01/1955,26.77
06/01/1955,26.71
07/01/1955,26.76
08/01/1955,26.72
09/01/1955,26.85
10/01/1955,26.82
11/01/1955,26.88
12/01/1955,26.87
01/01/1956,26.83
02/01/1956,26.86
03/01/1956,26.89
04/01/1956,26.93
05/01/1956,27.03
06/01/1956,27.15
07/01/1956,27.29
08/01/1956,27.31
09/01/1956,27.35
10/01/1956,27.51
11/01/1956,27.51
12/01/1956,27.63
01/01/1957,27.67
02/01/1957,27.8
03/01/1957,27.86
04/01/1957,27.93
05/01/1957,28
06/01/1957,28.11
07/01/1957,28.19
08/01/1957,28.28
09/01/1957,28.32
10/01/1957,28.32
11/01/1957,28.41
12/01/1957,28.47
01/01/1958,28.64
02/01/1958,28.7
03/01/1958,28.87
04/01/1958,28.94
05/01/1958,28.94
06/01/1958,28.91
07/01/1958,28.89
08/01/1958,28.94
09/01/1958,28.91
10/01/1958,28.91
11/01/1958,28.95
12/01/1958,28.97
01/01/1959,29.01
02/01/1959,29
03/01/1959,28.97
04/01/1959,28.98
05/01/1959,29.04
06/01/1959,29.11
07/01/1959,29.15
08/01/1959,29.18
09/01/1959,29.25
10/01/1959,29.35
11/01/1959,29.35
12/01/1959,29.41
01/01/1960,29.37
02/01/1960,29.41
03/01/1960,29.41
04/01/1960,29.54
05/01/1960,29.57
06/01/1960,29.61
07/01/1960,29.55
08/01/1960,29.61
09/01/1960,29.61
10/01/1960,29.75
11/01/1960,29.78
12/01/1960,29.81
01/01/1961,29.84
02/01/1961,29.84
03/01/1961,29.84
04/01/1961,29.81
05/01/1961,29.84
06/01/1961,29.84
07/01/1961,29.92
08/01/1961,29.94
09/01/1961,29.98
10/01/1961,29.98
11/01/1961,29.98
12/01/1961,30.01
01/01/1962,30.04
02/01/1962,30.11
03/01/1962,30.17
04/01/1962,30.21
05/01/1962,30.24
06/01/1962,30.21
07/01/1962,30.22
08/01/1962,30.28
09/01/1962,30.42
10/01/1962,30.38
11/01/1962,30.38
12/01/1962,30.38
01/01/1963,30.44
02/01/1963,30.48
