Release_Type,Movie_Name,Lifetime Gross,Year,Release_ID,Movie_ID,file_name
Original Release,Avengers: Endgame,2797800564,2019,gr3511898629,tt4154796,Collections of Top Grossing Films
Original Release,Avatar,2790439000,2009,gr3486798341,tt0499549,Collections of Top Grossing Films
Original Release,Titanic,2194439542,1997,gr4195045893,tt0120338,Collections of Top Grossing Films
Original Release,Star Wars: Episode VII - The Force Awakens,2068223624,2015,gr3305984517,tt2488496,Collections of Top Grossing Films
Original Release,Avengers: Infinity War,2048359754,2018,gr3915469317,tt4154756,Collections of Top Grossing Films
Original Release,Jurassic World,1670400637,2015,gr2960871941,tt0369610,Collections of Top Grossing Films
Original Release,The Lion King,1656943394,2019,gr403788293,tt6105098,Collections of Top Grossing Films
Original Release,The Avengers,1518812988,2012,gr1911837189,tt0848228,Collections of Top Grossing Films
Original Release,Furious 7,1515047671,2015,gr2321306117,tt2820852,Collections of Top Grossing Films
Original Release,Frozen II,1450026933,2019,gr1030181381,tt4520988,Collections of Top Grossing Films
Original Release,Avengers: Age of Ultron,1402805868,2015,gr1743933957,tt2395427,Collections of Top Grossing Films
Original Release,Black Panther,1346913161,2018,gr3458290181,tt1825683,Collections of Top Grossing Films
Original Release,Harry Potter and the Deathly Hallows: Part 2,1341932398,2011,gr2033603077,tt1201607,Collections of Top Grossing Films
Original Release,Star Wars: Episode VIII - The Last Jedi,1332539889,2017,gr3764736517,tt2527336,Collections of Top Grossing Films
Original Release,Jurassic World: Fallen Kingdom,1308467944,2018,gr3108917765,tt4881806,Collections of Top Grossing Films
Original Release,Frozen,1280802282,2013,gr1177113093,tt2294629,Collections of Top Grossing Films
Original Release,Beauty and the Beast,1263521126,2017,gr1429688837,tt2771200,Collections of Top Grossing Films
Original Release,Incredibles 2,1242805359,2018,gr2507690501,tt3606756,Collections of Top Grossing Films
Original Release,The Fate of the Furious,1236005118,2017,gr38949381,tt4630562,Collections of Top Grossing Films
Original Release,Iron Man 3,1214811252,2013,gr3316142597,tt1300854,Collections of Top Grossing Films
Original Release,Minions,1159398397,2015,gr838095365,tt2293640,Collections of Top Grossing Films
Original Release,Captain America: Civil War,1153296293,2016,gr2136297989,tt3498820,Collections of Top Grossing Films
Original Release,Aquaman,1148461807,2018,gr1903186437,tt1477834,Collections of Top Grossing Films
Original Release,The Lord of the Rings: The Return of the King,1142219401,2003,gr1274302981,tt0167260,Collections of Top Grossing Films
Original Release,Spider-Man: Far from Home,1131927996,2019,gr1825526277,tt6320628,Collections of Top Grossing Films
Original Release,Captain Marvel,1128274794,2019,gr3085718021,tt4154664,Collections of Top Grossing Films
Original Release,Transformers: Dark of the Moon,1123794079,2011,gr6312453,tt1399103,Collections of Top Grossing Films
Original Release,Skyfall,1108561013,2012,gr2379174405,tt1074638,Collections of Top Grossing Films
Original Release,Transformers: Age of Extinction,1104054072,2014,gr41374213,tt2109248,Collections of Top Grossing Films
Original Release,The Dark Knight Rises,1081041287,2012,gr808210949,tt1345836,Collections of Top Grossing Films
Original Release,Joker,1074251311,2019,gr4123480581,tt7286456,Collections of Top Grossing Films
Original Release,Star Wars: The Rise Of Skywalker,1074144248,2019,gr2303480325,tt2527338,Collections of Top Grossing Films
Original Release,Toy Story 4,1073394593,2019,gr2366394885,tt1979376,Collections of Top Grossing Films
Original Release,Toy Story 3,1066969703,2010,gr87839237,tt0435761,Collections of Top Grossing Films
Original Release,Pirates of the Caribbean: Dead Man's Chest,1066179725,2006,gr2621919749,tt0383574,Collections of Top Grossing Films
Original Release,Rogue One: A Star Wars Story,1056057273,2016,gr384520709,tt3748528,Collections of Top Grossing Films
Original Release,Aladdin,1050693953,2019,gr2669236741,tt6139732,Collections of Top Grossing Films
Original Release,Pirates of the Caribbean: On Stranger Tides,1045713802,2011,gr2121159173,tt1298650,Collections of Top Grossing Films
Original Release,Despicable Me 3,1034799409,2017,gr1982484997,tt3469046,Collections of Top Grossing Films
Original Release,Jurassic Park,1032020521,1993,gr1932939781,tt0107290,Collections of Top Grossing Films
Original Release,Finding Dory,1028570889,2016,gr1869238789,tt2277860,Collections of Top Grossing Films
Original Release,Star Wars: Episode I - The Phantom Menace,1027082707,1999,gr2130858501,tt0120915,Collections of Top Grossing Films
Original Release,Alice in Wonderland,1025467110,2010,gr1992577541,tt1014759,Collections of Top Grossing Films
Original Release,Zootopia,1023784195,2016,gr1680691717,tt2948356,Collections of Top Grossing Films
Original Release,The Hobbit: An Unexpected Journey,1017003568,2012,gr769020421,tt0903624,Collections of Top Grossing Films
Original Release,The Dark Knight,1004934033,2008,gr1144476165,tt0468569,Collections of Top Grossing Films
Original Release,Harry Potter and the Sorcerer's Stone,978087613,2001,gr2296795653,tt0241527,Collections of Top Grossing Films
Original Release,Harry Potter and the Deathly Hallows: Part 1,976920103,2010,gr1728664069,tt0926084,Collections of Top Grossing Films
Original Release,Despicable Me 2,970766005,2013,gr3123335685,tt1690953,Collections of Top Grossing Films
Original Release,The Lion King,968511805,1994,gr1310020101,tt0110357,Collections of Top Grossing Films
Original Release,The Jungle Book,966550600,2016,gr1103385093,tt3040964,Collections of Top Grossing Films
Original Release,Jumanji: Welcome to the Jungle,962102237,2017,gr2130465285,tt2283362,Collections of Top Grossing Films
Original Release,Pirates of the Caribbean: At World's End,960996492,2007,gr1460621829,tt0449088,Collections of Top Grossing Films
Original Release,The Hobbit: The Desolation of Smaug,958366855,2013,gr1101746693,tt1170358,Collections of Top Grossing Films
Original Release,The Hobbit: The Battle of the Five Armies,956019788,2014,gr147673605,tt2310332,Collections of Top Grossing Films
Original Release,The Lord of the Rings: The Two Towers,951208089,2002,gr608064005,tt0167261,Collections of Top Grossing Films
Original Release,Harry Potter and the Order of the Phoenix,942044510,2007,gr1575965189,tt0373889,Collections of Top Grossing Films
Original Release,Finding Nemo,940343261,2003,gr1846039045,tt0266543,Collections of Top Grossing Films
Original Release,Harry Potter and the Half-Blood Prince,934326396,2009,gr1638420997,tt0417741,Collections of Top Grossing Films
Original Release,Shrek 2,928760770,2004,gr2524271109,tt0298148,Collections of Top Grossing Films
Original Release,Bohemian Rhapsody,903655259,2018,gr4107555333,tt1727824,Collections of Top Grossing Films
Original Release,Harry Potter and the Goblet of Fire,896346229,2005,gr1188188677,tt0330373,Collections of Top Grossing Films
Original Release,Spider-Man 3,894983373,2007,gr4067512837,tt0413300,Collections of Top Grossing Films
Original Release,The Lord of the Rings: The Fellowship of the Ring,887832826,2001,gr892686853,tt0120737,Collections of Top Grossing Films
Original Release,Ice Age: Dawn of the Dinosaurs,886686817,2009,gr3339866629,tt1080016,Collections of Top Grossing Films
Original Release,Spectre,880674609,2015,gr16273925,tt2379713,Collections of Top Grossing Films
Original Release,Spider-Man: Homecoming,880166924,2017,gr65032709,tt2250912,Collections of Top Grossing Films
Original Release,Harry Potter and the Chamber of Secrets,879465594,2002,gr433738245,tt0295297,Collections of Top Grossing Films
Original Release,Ice Age: Continental Drift,877244782,2012,gr1428443653,tt1667889,Collections of Top Grossing Films
Original Release,The Secret Life of Pets,875457937,2016,gr4228141573,tt2709768,Collections of Top Grossing Films
Original Release,Batman v Superman: Dawn of Justice,873634919,2016,gr4182135301,tt2975590,Collections of Top Grossing Films
Original Release,Wolf Warrior 2,870325439,2017,gr3036500485,tt7131870,Collections of Top Grossing Films
Original Release,Star Wars: Episode III - Revenge of the Sith,868390560,2005,gr136008197,tt0121766,Collections of Top Grossing Films
Original Release,The Hunger Games: Catching Fire,865011746,2013,gr150950405,tt1951264,Collections of Top Grossing Films
Original Release,Guardians of the Galaxy Vol. 2,863756051,2017,gr388583941,tt3896198,Collections of Top Grossing Films
Original Release,Inside Out,857611174,2015,gr1952338437,tt2096673,Collections of Top Grossing Films
Original Release,Venom,856085151,2018,gr3586740741,tt1270797,Collections of Top Grossing Films
Original Release,Thor: Ragnarok,853977126,2017,gr197939717,tt3501632,Collections of Top Grossing Films
Original Release,Transformers: Revenge of the Fallen,836303693,2009,gr3638907397,tt1055369,Collections of Top Grossing Films
Original Release,Inception,829895144,2010,gr1400852997,tt1375666,Collections of Top Grossing Films
Original Release,The Twilight Saga: Breaking Dawn - Part 2,829746820,2012,gr267080197,tt1673434,Collections of Top Grossing Films
Original Release,Spider-Man,825025036,2002,gr695423493,tt0145487,Collections of Top Grossing Films
Original Release,Wonder Woman,821847012,2017,gr1207325189,tt0451279,Collections of Top Grossing Films
Original Release,Independence Day,817400891,1996,gr3060158981,tt0116629,Collections of Top Grossing Films
Original Release,Fantastic Beasts and Where to Find Them,814037575,2016,gr3670495749,tt3183660,Collections of Top Grossing Films
Original Release,Shrek the Third,813367380,2007,gr3119469061,tt0413267,Collections of Top Grossing Films
Original Release,Coco,807082196,2017,gr2402243077,tt2380307,Collections of Top Grossing Films
Original Release,Jumanji: The Next Level,796575993,2019,gr2719109637,tt7975244,Collections of Top Grossing Films
Original Release,Harry Potter and the Prisoner of Azkaban,796093802,2004,gr694505989,tt0304141,Collections of Top Grossing Films
Original Release,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,2017,gr1009078789,tt1790809,Collections of Top Grossing Films
Original Release,E.T. the Extra-Terrestrial,793482178,1982,gr2980663813,tt0083866,Collections of Top Grossing Films
Original Release,2012,791217826,2009,gr1717588485,tt1190080,Collections of Top Grossing Films
Original Release,Mission: Impossible - Fallout,791115104,2018,gr248533509,tt4912910,Collections of Top Grossing Films
Original Release,Indiana Jones and the Kingdom of the Crystal Skull,790653942,2008,gr4259205637,tt0367882,Collections of Top Grossing Films
Original Release,Spider-Man 2,788976453,2004,gr2282115589,tt0316654,Collections of Top Grossing Films
Original Release,Fast & Furious 6,788679850,2013,gr1758810629,tt1905041,Collections of Top Grossing Films
Original Release,Deadpool 2,785794179,2018,gr262820357,tt5463162,Collections of Top Grossing Films
Original Release,Deadpool,782612155,2016,gr2532200965,tt1431045,Collections of Top Grossing Films
Original Release,Star Wars: Episode IV - A New Hope,775512064,1977,gr22499845,tt0076759,Collections of Top Grossing Films
Original Release,Guardians of the Galaxy,772776600,2014,gr2312655365,tt2015381,Collections of Top Grossing Films
Original Release,The Da Vinci Code,760006945,2006,gr1191531013,tt0382625,Collections of Top Grossing Films
Original Release,Fast & Furious Presents: Hobbs & Shaw,759056935,2019,gr423973381,tt6806448,Collections of Top Grossing Films
Original Release,Maleficent,758410378,2014,gr4064301573,tt1587310,Collections of Top Grossing Films
Original Release,The Amazing Spider-Man,757930663,2012,gr909332997,tt0948470,Collections of Top Grossing Films
Original Release,The Hunger Games: Mockingjay - Part 1,755356711,2014,gr3034403333,tt1951265,Collections of Top Grossing Films
Original Release,Shrek Forever After,752600867,2010,gr2889241093,tt0892791,Collections of Top Grossing Films
Original Release,Madagascar 3: Europe's Most Wanted,746921274,2012,gr3732754949,tt1277953,Collections of Top Grossing Films
Original Release,Suicide Squad,746846894,2016,gr457593349,tt1386697,Collections of Top Grossing Films
Original Release,X-Men: Days of Future Past,746045700,2014,gr2674807301,tt1877832,Collections of Top Grossing Films
Original Release,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,2005,gr3981726213,tt0363771,Collections of Top Grossing Films
Original Release,Monsters University,743559607,2013,gr620057093,tt1453405,Collections of Top Grossing Films
Original Release,The Matrix Reloaded,741846459,2003,gr2949468677,tt0234215,Collections of Top Grossing Films
Original Release,Up,735099082,2009,gr1190679045,tt1049413,Collections of Top Grossing Films
Original Release,Ne Zha,726063471,2019,gr3953807877,tt10627720,Collections of Top Grossing Films
Original Release,Gravity,723192705,2013,gr1355043333,tt1454468,Collections of Top Grossing Films
Original Release,Captain America: The Winter Soldier,714421503,2014,gr952979973,tt1843866,Collections of Top Grossing Films
Original Release,The Twilight Saga: Breaking Dawn - Part 1,712205856,2011,gr205607429,tt1324999,Collections of Top Grossing Films
Original Release,The Twilight Saga: New Moon,711020081,2009,gr255414789,tt1259571,Collections of Top Grossing Films
Original Release,Dawn of the Planet of the Apes,710644566,2014,gr1446466053,tt2103281,Collections of Top Grossing Films
Original Release,Transformers,709709780,2007,gr1764905477,tt0418279,Collections of Top Grossing Films
Original Release,The Amazing Spider-Man 2,708982323,2014,gr1230590469,tt1872181,Collections of Top Grossing Films
Original Release,It,701796444,2017,gr1547719173,tt1396484,Collections of Top Grossing Films
Original Release,The Wandering Earth,699760773,2019,gr2718781957,tt7605074,Collections of Top Grossing Films
Original Release,The Twilight Saga: Eclipse,698491347,2010,gr719868421,tt1325004,Collections of Top Grossing Films
Original Release,Mission: Impossible - Ghost Protocol,694713380,2011,gr2708492805,tt1229238,Collections of Top Grossing Films
Original Release,The Hunger Games,694394724,2012,gr947606021,tt1392170,Collections of Top Grossing Films
Original Release,Moana,690845539,2016,gr1742623237,tt3521164,Collections of Top Grossing Films
Original Release,Mission: Impossible - Rogue Nation,682714267,2015,gr3740488197,tt2381249,Collections of Top Grossing Films
Original Release,Forrest Gump,678222284,1994,gr2428654085,tt0109830,Collections of Top Grossing Films
Original Release,Doctor Strange,677718395,2016,gr2284737029,tt1211837,Collections of Top Grossing Films
Original Release,Interstellar,677471339,2014,gr459297285,tt0816692,Collections of Top Grossing Films
Original Release,The Sixth Sense,672806292,1999,gr3454226949,tt0167404,Collections of Top Grossing Films
Original Release,Man of Steel,668045518,2013,gr3156955653,tt0770828,Collections of Top Grossing Films
Original Release,Ice Age: The Meltdown,667094506,2006,gr2833142277,tt0438097,Collections of Top Grossing Films
Original Release,Kung Fu Panda 2,665692281,2011,gr796611077,tt1302011,Collections of Top Grossing Films
Original Release,The Hunger Games: Mockingjay - Part 2,658344137,2015,gr2410172933,tt1951266,Collections of Top Grossing Films
Original Release,Justice League,657924295,2017,gr2733527557,tt0974015,Collections of Top Grossing Films
Original Release,Big Hero 6,657827828,2014,gr3218493957,tt2245084,Collections of Top Grossing Films
Original Release,Fantastic Beasts: The Crimes of Grindelwald,654855901,2018,gr3275837957,tt4123430,Collections of Top Grossing Films
Original Release,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,2003,gr2457162245,tt0325980,Collections of Top Grossing Films
Original Release,Star Wars: Episode II - Attack of the Clones,653779970,2002,gr4056830469,tt0121765,Collections of Top Grossing Films
Original Release,Thor: The Dark World,644783140,2013,gr1745965573,tt1981115,Collections of Top Grossing Films
Original Release,Sing,634151679,2016,gr3642970629,tt3470600,Collections of Top Grossing Films
Original Release,"Monsters, Inc.",632316649,2001,gr589582853,tt0198781,Collections of Top Grossing Films
Original Release,Kung Fu Panda,631746197,2008,gr4251996677,tt0441773,Collections of Top Grossing Films
Original Release,The Incredibles,631606713,2004,gr3888796165,tt0317705,Collections of Top Grossing Films
Original Release,The Martian,630161890,2015,gr1145983493,tt3659388,Collections of Top Grossing Films
Original Release,Hancock,629443428,2008,gr3807793669,tt0448157,Collections of Top Grossing Films
Original Release,Fast Five,626137675,2011,gr1785876997,tt1596343,Collections of Top Grossing Films
Original Release,Men in Black 3,624026776,2012,gr2369081861,tt1409024,Collections of Top Grossing Films
Original Release,Iron Man 2,623933331,2010,gr1212436997,tt1228705,Collections of Top Grossing Films
Original Release,Ratatouille,623726085,2007,gr2754826757,tt0382932,Collections of Top Grossing Films
Original Release,Ant-Man and the Wasp,622674139,2018,gr869618181,tt5095030,Collections of Top Grossing Films
Original Release,How to Train Your Dragon 2,621537519,2014,gr2014401029,tt1646971,Collections of Top Grossing Films
Original Release,Logan,619021436,2017,gr4057092613,tt3315342,Collections of Top Grossing Films
Original Release,The Lost World: Jurassic Park,618638999,1997,gr3243201029,tt0119567,Collections of Top Grossing Films
Original Release,Casino Royale,616501619,2006,gr4025700869,tt0381061,Collections of Top Grossing Films
Original Release,The Passion of the Christ,612054428,2004,gr2935247365,tt0335345,Collections of Top Grossing Films
Original Release,Mamma Mia!,609896805,2008,gr3714404869,tt0795421,Collections of Top Grossing Films
Original Release,Life of Pi,609016565,2012,gr3542831621,tt0454876,Collections of Top Grossing Films
Original Release,Transformers: The Last Knight,605425157,2017,gr438653445,tt3371366,Collections of Top Grossing Films
Original Release,Madagascar: Escape 2 Africa,603900354,2008,gr483480069,tt0479952,Collections of Top Grossing Films
Original Release,War of the Worlds,603873119,2005,gr862212613,tt0407304,Collections of Top Grossing Films
Original Release,Tangled,592461732,2010,gr3905638917,tt0398286,Collections of Top Grossing Films
Original Release,Quantum of Solace,589580482,2008,gr2347520517,tt0830515,Collections of Top Grossing Films
Original Release,Men in Black,589390539,1997,gr3991294469,tt0119654,Collections of Top Grossing Films
Original Release,The Croods,587204668,2013,gr1577669125,tt0481499,Collections of Top Grossing Films
Original Release,The Hangover Part II,586764305,2011,gr4266807813,tt1411697,Collections of Top Grossing Films
Original Release,I Am Legend,585410052,2007,gr3741340165,tt0480249,Collections of Top Grossing Films
Original Release,Iron Man,585366247,2008,gr2956087813,tt0371746,Collections of Top Grossing Films
Original Release,Ready Player One,582890172,2018,gr1211716101,tt1677720,Collections of Top Grossing Films
Original Release,Operation Red Sea,579330426,2018,gr2180010501,tt6878882,Collections of Top Grossing Films
Original Release,Night at the Museum,574480841,2006,gr1274434053,tt0477347,Collections of Top Grossing Films
Original Release,Fifty Shades of Grey,569651467,2015,gr4024783365,tt2322441,Collections of Top Grossing Films
Original Release,Kong: Skull Island,566652812,2017,gr3991622149,tt3731562,Collections of Top Grossing Films
Original Release,The Smurfs,563749323,2011,gr2738246149,tt0472181,Collections of Top Grossing Films
Original Release,King Kong,562363449,2005,gr1397117445,tt0360717,Collections of Top Grossing Films
Original Release,Cars 2,559852396,2011,gr2919256581,tt1216475,Collections of Top Grossing Films
Original Release,Puss in Boots,554987477,2011,gr902189573,tt0448694,Collections of Top Grossing Films
Original Release,The Mermaid,553810228,2016,gr719016453,tt4701660,Collections of Top Grossing Films
Original Release,Armageddon,553709788,1998,gr1953976837,tt0120591,Collections of Top Grossing Films
Original Release,The Day After Tomorrow,552639571,2004,gr526471685,tt0319262,Collections of Top Grossing Films
Original Release,Ted,549368315,2012,gr1762677253,tt1637725,Collections of Top Grossing Films
Original Release,Star Wars: Episode V - The Empire Strikes Back,547897454,1980,gr2361938437,tt0080684,Collections of Top Grossing Films
Original Release,American Sniper,547426372,2014,gr1412583941,tt2179136,Collections of Top Grossing Films
Original Release,Mission: Impossible II,546388108,2000,gr891703813,tt0120755,Collections of Top Grossing Films
Original Release,Detective Chinatown 2,544185156,2018,gr3093189125,tt7752454,Collections of Top Grossing Films
Original Release,X-Men: Apocalypse,543934105,2016,gr2590724613,tt3385516,Collections of Top Grossing Films
Original Release,Sherlock Holmes: A Game of Shadows,543848418,2011,gr1228100101,tt1515091,Collections of Top Grossing Films
Original Release,Despicable Me,543113985,2010,gr400445957,tt1323594,Collections of Top Grossing Films
Original Release,Cinderella,542351353,2015,gr3664990725,tt1661199,Collections of Top Grossing Films
Original Release,Madagascar,542063846,2005,gr1565741573,tt0351283,Collections of Top Grossing Films
Original Release,World War Z,540007876,2013,gr54481413,tt0816711,Collections of Top Grossing Films
Original Release,Brave,538983207,2012,gr4064825861,tt1217209,Collections of Top Grossing Films
Original Release,The Simpsons Movie,536414270,2007,gr218583557,tt0462538,Collections of Top Grossing Films
